"batch","id","userAgent","OS","Browser","isMobile","studyCondition","firstCondition","seqAirline","errorStates","seqStates","focusState","focusAirline","secondCondition","errorAirline","approx_airline_howManyCompare_0_answer","approx_airline_howManyCompare_0_data","approx_airline_howManyCompare_0_approx","approx_airline_howManyCompare_0_confidence","approx_airline_howMany_answer","approx_airline_howMany_approx","approx_airline_howMany_confidence","approx_airline_howManyCompare_1_answer","approx_airline_howManyCompare_1_data","approx_airline_howManyCompare_1_approx","approx_airline_howManyCompare_1_confidence","approx_states_howManyCompare_0_answer","approx_states_howManyCompare_0_data","approx_states_howManyCompare_0_approx","approx_states_howManyCompare_0_confidence","approx_states_howMany_answer","approx_states_howMany_approx","approx_states_howMany_confidence","approx_states_howManyCompare_1_answer","approx_states_howManyCompare_1_data","approx_states_howManyCompare_1_approx","approx_states_howManyCompare_1_confidence","precise_airline_didYouNotice_answer","precise_airline_didYouNotice_true","precise_airline_didYouNotice_confidence","precise_airline_howManyCompare_0_answer","precise_airline_howManyCompare_0_data","precise_airline_howManyCompare_0_approx","precise_airline_howManyCompare_0_precise","precise_airline_howManyCompare_0_confidence","precise_airline_howMany_answer","precise_airline_howMany_approx","precise_airline_howMany_precise","precise_airline_howMany_confidence","precise_airline_SelectAll_confidence","precise_airline_SelectAll_answer","precise_airline_SelectAll_approx","precise_airline_SelectAll_precise","precise_airline_SelectAll_jaccard_answer_precise","precise_airline_SelectAll_jaccard_approx_precise","precise_airline_SelectAll_jaccard_approx_answer","precise_airline_howManyCompare_1_answer","precise_airline_howManyCompare_1_data","precise_airline_howManyCompare_1_approx","precise_airline_howManyCompare_1_precise","precise_airline_howManyCompare_1_confidence","precise_airline_howManyCompare_2_answer","precise_airline_howManyCompare_2_data","precise_airline_howManyCompare_2_approx","precise_airline_howManyCompare_2_precise","precise_airline_howManyCompare_2_confidence","precise_states_didYouNotice_answer","precise_states_didYouNotice_true","precise_states_didYouNotice_confidence","precise_states_howMany_answer","precise_states_howMany_approx","precise_states_howMany_precise","precise_states_howMany_confidence","precise_states_howManyCompare_0_answer","precise_states_howManyCompare_0_data","precise_states_howManyCompare_0_approx","precise_states_howManyCompare_0_precise","precise_states_howManyCompare_0_confidence","precise_states_howManyCompare_1_answer","precise_states_howManyCompare_1_data","precise_states_howManyCompare_1_approx","precise_states_howManyCompare_1_precise","precise_states_howManyCompare_1_confidence","precise_states_howManyCompare_2_answer","precise_states_howManyCompare_2_data","precise_states_howManyCompare_2_approx","precise_states_howManyCompare_2_precise","precise_states_howManyCompare_2_confidence","precise_states_SelectAll_confidence","precise_states_SelectAll_answer","precise_states_SelectAll_approx","precise_states_SelectAll_precise","precise_states_SelectAll_jaccard_answer_precise","precise_states_SelectAll_jaccard_approx_precise","precise_states_SelectAll_jaccard_approx_answer","timing_approximate_questions_first_html","timing_approximate_second_html","timing_precise_questions_html","timing_approximate_questions_second_html","timing_precise_instructions_html","timing_demographics_html","timing_precise_first_html","timing_approximate_first_html","timing_instructions_html","timing_index_html","timing_precise_second_html","timing_thanks_html","demographics_problems","demographics_troubles","demographics_improved","demographics_gender","demographics_age","demographics_familiar","demographics_cheat"
"second","28653725","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36""","Windows NT 10.0","Chrome/54","False","difference","airline","14","1","1","FL","AA","states","200","-1001","B6","5200","strong_agree","3900","3600","weak_agree","2000","WN","1800","agree","1000","MA","3928","strong_agree","5000","4986","strong_agree","4000","VA","961","strong_agree","True","True","agree","-1000","DL","5600","5163","agree","4300","3600","4088","agree","strong_agree","""UA,AA,VX,DL,WN,EV,B6""","""UA,AA,VX,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","1.0","1.0","1.0","4000","UA","200","583","agree","2000","WN","1800","2155","agree","False","False","strong_agree","4800","4986","4986","strong_agree","-200","NY","5085","5085","strong_agree","3200","CA","1887","1887","agree","3800","PR","950","950","agree","strong_agree","""CA,FL,VA,MA,NY,NJ,PR""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","1.0","1.0","1.0","39807","17777","189774","36402","7108","18493","22856","34604","8166","1518","15810","17836","none","no","none","male","30","familiar","no"
"second","60755967","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0","Windows NT 6.1","Firefox/50","False","difference","airline","12","100","19","NY","AA","states","1000","4000","DL","6000","strong_disagree","5000","5000","strong_agree","3000","UA","1000","disagree","1000","MA","4200","strong_disagree","4200","5000","disagree","1500","PR","900","neutral","True","True","strong_agree","-1000","DL","6000","5163","weak_agree","4250","5000","4088","weak_agree","weak_agree","""UA,AA,DL,B6""","""UA,AA,DL,B6""","""UA,AA,VX,DL,EV,B6,WN""","0.5714285714285714","0.5714285714285714","1.0","3500","UA","1000","583","weak_agree","1000","B6","7000","5113","unknown","True","True","strong_agree","4500","5000","5085","weak_agree","4000","NJ","300","327","agree","1000","MA","4200","3928","disagree","5000","PR","900","950","neutral","agree","""VA,MA,NY,NJ,PR""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.7142857142857143","1.0","0.7142857142857143","21317","17435","","","32499","","25611","17904","3484","28231","13964","45717","","no","","female","28","familiar","no"
"second","87912012","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36""","Windows NT 10.0","Chrome/54","False","onlyNew","states","14","1","1","FL","AA","airline","200","2000","VX","200","weak_disagree","3500","3600","strong_agree","600","DL","5600","weak_agree","-200","NY","5085","agree","5000","4986","strong_agree","400","CA","1887","agree","True","True","weak_agree","1500","VX","200","153","weak_disagree","4200","3600","4088","weak_disagree","weak_agree","""AA,VX,DL,WN,EV,B6""","""UA,AA,VX,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","0.8571428571428571","1.0","0.8571428571428571","-400","B6","5200","5113","weak_agree","1000","WN","1800","2155","weak_disagree","True","False","agree","4900","4986","4986","strong_agree","3400","NJ","327","327","weak_agree","2000","CA","1887","1887","agree","2000","PR","950","950","strong_disagree","weak_disagree","""CA,FL,VA,MA,NY,NJ""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.8571428571428571","1.0","0.8571428571428571","41039","34033","142468","50485","5296","23508","28255","24134","30481","7544","34611","6907","no","no","none thank you","male","44","expert","no"
"second","50263296","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0","Windows NT 6.3","Firefox/50","False","difference","states","5","500","7","FL","AA","airline","100","1000","DL","4500","agree","5500","5500","strong_agree","5000","UA","700","agree","5000","NJ","500","strong_agree","5500","5500","strong_agree","3000","VA","1500","agree","True","True","strong_agree","-2000","DL","4500","5163","weak_agree","4000","5500","4088","agree","strong_agree","""UA,AA,VX,DL,WN,EV,B6""","""UA,AA,VX,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","1.0","1.0","1.0","3000","UA","700","583","weak_agree","-1000","B6","4000","5113","weak_agree","True","True","strong_agree","5000","5500","4986","strong_agree","5000","NJ","500","327","strong_agree","1000","MA","1500","3928","agree","4000","VA","1500","961","strong_agree","strong_agree","""CA,FL,VA,MA,NY,NJ,PR""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","1.0","1.0","1.0","60470","60142","227829","46440","8255","23022","35876","62632","74622","18918","34451","19325","no","no","no","female","43","expert","no"
"second","30619584","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0","Windows NT 10.0","Firefox/50","False","both","airline","16","200","4","FL","AA","states","1000","-900","B6","5000","weak_agree","1800","2000","weak_agree","-600","EV","4000","weak_agree","-600","NY","5000","weak_agree","4400","4200","weak_agree","3600","VA","800","weak_agree","False","True","neutral","600","UA","1000","583","weak_agree","1800","2000","4088","neutral","strong_agree","""UA,AA,DL,EV,B6,WN""","""UA,AA,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","0.8571428571428571","0.8571428571428571","1.0","-3000","B6","5000","5113","weak_agree","-1200","WN","4000","2155","weak_agree","False","True","weak_agree","200","4200","4986","weak_disagree","99","NY","5000","5085","neutral","-300","CA","2000","1887","disagree","400","VA","800","961","strong_disagree","weak_disagree","""CA,FL,IL,TX,VA,MA,NY""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.5555555555555556","1.0","0.5555555555555556","88097","19609","265048","79659","7992","92158","19461","47978","32714","4674","37566","40719","no","no","no","female","28","some","no"
"second","76632955","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36""","Mac OS X 10_12","Chrome/54","False","onlyNew","states","11","200","15","FL","AA","airline","100","1000","VX","200","strong_disagree","2100","4400","strong_disagree","500","WN","1700","strong_disagree","900","MA","3800","strong_disagree","4000","4000","strong_agree","200","CA","2200","strong_disagree","True","True","neutral","200","DL","4600","5163","strong_disagree","1100","4400","4088","strong_disagree","disagree","""AA,VX,WN,EV,B6""","""UA,AA,VX,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","0.7142857142857143","1.0","0.7142857142857143","100","B6","5400","5113","strong_disagree","-100","EV","2500","1998","strong_disagree","True","True","agree","5000","4000","4986","strong_disagree","100","PR","1200","950","strong_disagree","100","CA","2200","1887","strong_disagree","","","","","","strong_disagree","""CA,FL,MA,TX,VA,GA,NY""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.5555555555555556","1.0","0.5555555555555556","63676","156227","828820","169478","815773","52492","32185","48131","11657746","11492419","46066","4861816","no","no","I'm not sure now whether I was allowed to write things down.","female","28","none","no"
"second","51665387","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36""","Windows NT 10.0","Chrome/54","False","both","airline","3","200","18","MA","B6","states","500","4100","WN","1000","weak_agree","4900","5000","strong_agree","4100","UA","1000","weak_agree","3000","NJ","400","weak_agree","3400","3400","agree","1200","CA","2200","weak_agree","True","True","strong_agree","4500","UA","1000","583","weak_agree","5100","5000","5113","strong_agree","strong_agree","""UA,VX,DL,WN,EV,B6""","""UA,AA,VX,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","0.8571428571428571","1.0","0.8571428571428571","5000","VX","500","153","weak_agree","3000","EV","2500","1998","weak_agree","True","True","strong_agree","3900","3400","3928","strong_agree","2000","CA","2200","1887","weak_agree","3000","PR","1400","950","weak_agree","-1000","FL","4800","4986","weak_agree","strong_agree","""CA,FL,MA,NY,NJ,PR""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.8571428571428571","1.0","0.8571428571428571","47007","14814","514676","44026","8722","24875","12796","35977","8000","2496","17334","1249144","no","no","no","male","39","familiar","no"
"second","25917069","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36""","Windows NT 10.0","Chrome/54","False","both","airline","15","1000","15","FL","DL","states","200","1500","B6","4000","agree","5200","5400","strong_agree","5000","UA","600","agree","4000","NY","9000","agree","3700","4000","strong_agree","1000","CA","2000","agree","True","True","strong_agree","2000","AA","3800","4088","weak_agree","5000","5400","5163","weak_agree","weak_agree","""UA,AA,VX,DL,WN,EV,B6""","""UA,AA,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","1.0","0.8571428571428571","0.8571428571428571","3000","B6","4000","5113","weak_agree","5000","EV","2400","1998","weak_agree","True","True","strong_agree","4500","4000","4986","weak_agree","-100","NY","9000","5085","strong_agree","1000","CA","2000","1887","weak_agree","1000","MA","2000","3928","weak_agree","weak_agree","""CA,FL,MA,NY""","""CA,FL,VA,MA,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.5714285714285714","0.7142857142857143","0.8","52130","17669","75360","18845","2951","13630","12020","866229","14361","","11390","7509","-","no","-","male","29","expert","no"
"second","2893057","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36 OPR/41.0.0.235319328 (Edition EXP50)""","Windows NT 6.1","Chrome/54","False","both","airline","5","200","17","FL","AA","states","100","3000","EV","1900","agree","5000","5500","agree","2000","WN","2500","agree","6000","NJ","400","agree","6500","6400","strong_agree","2000","CA","1400","neutral","False","True","disagree","2000","B6","4000","5113","disagree","6000","5500","4088","weak_disagree","weak_agree","""AA,VX,EV,B6""","""UA,AA,VX,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","0.5714285714285714","1.0","0.5714285714285714","3444","EV","1900","1998","neutral","500","WN","2500","2155","strong_disagree","False","True","weak_disagree","6000","6400","4986","neutral","2500","NY","3800","5085","disagree","3000","MA","4200","3928","disagree","2000","VA","800","961","strong_disagree","weak_disagree","""CA,FL,VA,NY,NJ""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.7142857142857143","1.0","0.7142857142857143","37180","21532","","28645","3941","14901","14804","34029","8287","5171","14921","50814","no","no","longer timer","male","32","none","no"
"second","76648162","""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36""","Windows NT 6.1","Chrome/54","False","both","airline","20","100","20","NY","AA","states","200","-1400","DL","4400","weak_agree","4600","4600","agree","300","UA","600","disagree","2400","NJ","500","disagree","20000","4900","strong_disagree","5000","VA","1400","disagree","True","True","weak_agree","500","UA","600","583","strong_disagree","5100","4600","4088","weak_disagree","weak_agree","""UA,AA,DL,EV,B6,WN""","""UA,AA,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","0.8571428571428571","0.8571428571428571","1.0","3000","EV","1400","1998","weak_disagree","2200","WN","2200","2155","strong_disagree","True","True","weak_agree","5100","4900","5085","agree","2300","MA","3400","3928","neutral","3000","PR","1200","950","weak_disagree","2000","VA","1400","961","weak_disagree","agree","""FL,VA,MA,NY,NJ,PR""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.8571428571428571","1.0","0.8571428571428571","75826","83127","134424","84506","6391","35418","88129","52391","54300","22994","23188","32408","No technical problems","no","No comments","male","44","familiar","no"
"third","7321301","""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36""","Windows NT 10.0","Chrome/54","False","difference","states","12","1","1","MA","DL","airline","100","2500","B6","4700","weak_disagree","5000","5000","agree","3300","EV","1600","strong_agree","1400","PR","950","disagree","3500","3928","agree","-1500","FL","4986","agree","True","True","agree","200","AA","5300","4088","strong_disagree","2800","5000","5163","weak_agree","strong_agree","""UA,AA,DL,EV,B6""","""UA,AA,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","0.7142857142857143","0.8571428571428571","0.8333333333333334","1200","UA","800","583","weak_agree","1000","B6","4700","5113","agree","True","False","strong_agree","3400","3928","3928","weak_agree","3500","CA","1887","1887","disagree","2000","PR","950","950","agree","200","VA","961","961","strong_disagree","agree","""VA,MA,NY,NJ,PR""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.7142857142857143","1.0","0.7142857142857143","25798","13724","111531","25278","3750","28502","31174","22439","12449","5357","19730","1154967","-","no","-","male","28","some","no"
"third","97626871","""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36""","Windows NT 6.3","Chrome/54","False","onlyNew","airline","11","100","7","MA","DL","states","1000","-1000","EV","4000","weak_agree","5000","5000","agree","-2500","WN","3000","agree","1500","NJ","100","weak_disagree","3600","3600","agree","3000","PR","1300","weak_agree","True","True","agree","2000","AA","2000","4088","weak_disagree","5200","5000","5163","agree","agree","""UA,AA,VX,DL,WN,EV,B6""","""UA,AA,VX,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","1.0","1.0","1.0","500","UA","1000","583","strong_disagree","3000","VX","1000","153","strong_disagree","True","True","weak_agree","3700","3600","3928","strong_agree","2000","NJ","100","327","disagree","1000","CA","1700","1887","neutral","-500","FL","5700","4986","weak_agree","agree","""CA,FL,VA,MA,NY,NJ,PR""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","1.0","1.0","1.0","27179","23435","164922","33898","3271","22705","20725","112118","7619","7220","14925","15627","None","no","The study was very straightforward and easy to follow","male","21","expert","no"
"third","29089701","Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0","Linux x86_64; rv:50.0","Firefox/50","False","both","states","2","500","13","NY","DL","airline","200","2000","AA","4600","weak_agree","5800","5800","agree","4000","WN","2000","strong_agree","1000","MA","4000","weak_disagree","5500","5500","strong_agree","4000","NJ","500","weak_agree","True","True","strong_agree","3000","UA","600","583","weak_disagree","5000","5800","5163","agree","weak_disagree","""UA,AA,VX,DL,WN,EV""","""UA,AA,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","0.8571428571428571","0.8571428571428571","0.7142857142857143","1000","B6","5000","5113","weak_disagree","3000","EV","1200","1998","weak_disagree","True","True","strong_agree","5000","5500","5085","weak_agree","3000","CA","1500","1887","weak_agree","4000","PR","1000","950","weak_agree","2000","FL","3500","4986","weak_agree","weak_disagree","""CA,FL,MA,NY,NJ,PR""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.8571428571428571","1.0","0.8571428571428571","23446","14977","194955","41792","6553","22523","25830","28346","28123","4081","27441","12584","No.","no","No.","male","30","familiar","no"
"third","76395409","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; rv:11.0) like Gecko","Windows NT 6.1","Trident/7.0","False","both","states","14","200","20","MA","B6","airline","200","4200","VX","200","agree","5100","5200","agree","2700","EV","2600","agree","500","NY","4400","strong_agree","4500","4600","agree","3000","CA","1800","agree","True","True","weak_agree","-250","DL","5600","5163","weak_disagree","5000","5200","5113","agree","weak_agree","""UA,AA,VX,DL,EV,B6""","""UA,AA,VX,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","0.8571428571428571","1.0","0.8571428571428571","4700","UA","200","583","weak_agree","4000","VX","200","153","agree","True","True","agree","4900","4600","3928","strong_agree","2000","CA","1800","1887","weak_agree","-1000","FL","6000","4986","agree","3000","VA","600","961","agree","agree","""CA,FL,MA,NY,NJ,PR""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.8571428571428571","1.0","0.8571428571428571","51611","17793","329370","74163","5518","34005","39011","25083","3866","8495","84788","5408","No","no","No","female","37","familiar","yes"
"third","9782123","""Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36""","Windows NT 10.0","Chrome/54","False","onlyNew","airline","7","100","12","MA","B6","states","100","2000","VX","100","weak_disagree","5800","5800","weak_agree","3000","EV","1500","weak_agree","200","NJ","400","agree","5200","5300","strong_agree","2000","VA","800","weak_disagree","True","True","strong_agree","1500","DL","4700","5163","neutral","5100","5800","5113","strong_agree","weak_agree","""UA,VX,DL,WN,EV,OO,B6""","""UA,AA,VX,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","0.75","1.0","0.75","1000","VX","100","153","weak_agree","-100","WN","2800","2155","unknown","True","True","strong_agree","4000","5300","3928","agree","3900","NJ","400","327","agree","-200","NY","4900","5085","weak_agree","3500","PR","600","950","weak_agree","weak_agree","""CA,FL,MA,NY,NJ,PR""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.8571428571428571","1.0","0.8571428571428571","27780","106682","100988","16657","23842","21262","20273","68082","78085","3249","17243","10516","No Problems","no","No suggestions","male","30","some","no"
"third","28428523","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36""","Windows NT 10.0","Chrome/54","False","difference","states","3","500","16","FL","B6","airline","100","5000","AA","4900","strong_disagree","18200","4300","strong_agree","6000","DL","5100","strong_disagree","1000","MA","4000","strong_agree","5000","5000","strong_agree","4000","PR","1000","strong_agree","True","True","agree","1000","AA","4900","4088","agree","5000","4300","5113","agree","strong_agree","""UA,AA,VX,DL,WN,EV,B6""","""UA,AA,VX,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","1.0","1.0","1.0","3800","VX","400","153","agree","2000","EV","2200","1998","agree","True","True","agree","4600","5000","4986","agree","4000","NJ","500","327","agree","2600","CA","2000","1887","agree","3800","VA","1000","961","agree","strong_agree","""CA,FL,VA,MA,PR,NJ""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.8571428571428571","1.0","0.8571428571428571","45880","17408","195067","184615","5319","35786","15381","22610","52853","5174","20541","16204","none","no","none","male","31","none","no"
"third","29657674","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36""","Windows NT 10.0","Chrome/54","False","difference","states","7","1","1","FL","B6","airline","1000","-1000","DL","4000","neutral","3000","3000","agree","0","EV","3000","weak_agree","-100","NY","5085","neutral","4800","4986","agree","4000","VA","961","weak_disagree","True","True","strong_agree","1000","DL","4000","5163","strong_disagree","5000","3000","5113","agree","agree","""UA,AA,VX,DL,WN,EV,B6""","""WN,AA,DL,B6,EV""","""UA,AA,VX,DL,EV,B6,WN""","1.0","0.7142857142857143","0.7142857142857143","0","AA","5000","4088","strong_disagree","2500","EV","3000","1998","disagree","False","False","strong_agree","4900","4986","4986","agree","-100","NY","5085","5085","neutral","1000","CA","1887","1887","strong_disagree","3900","MA","3928","3928","weak_agree","agree","""CA,FL,VA,MA,NY,NJ""","""CA,FL,VA,MA,PR,NJ,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.8571428571428571","1.0","0.8571428571428571","33223","35016","95854","25401","5994","138049","50695","34951","35086","59105","34038","8755","No","no","""Not sure how to improve it, but looking at the second airline chart was very weird and disorienting for me. Maybe it would have been easier if the tick was the old data and the bar chart was the new data.""","male","33","familiar","no"
"third","45694489","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36""","Windows NT 6.1","Chrome/55","False","difference","airline","4","1000","10","FL","AA","states","500","1000","B6","5000","disagree","2500","2500","strong_agree","-1000","EV","1500","disagree","3000","NY","4000","weak_agree","7700","8000","agree","4500","CA","3000","agree","True","True","strong_agree","-1000","DL","5500","5163","weak_disagree","5000","2500","4088","weak_agree","agree","""UA,AA,DL,EV,B6""","""UA,AA,DL,EV,B6,WN""","""UA,AA,VX,DL,EV,B6,WN""","0.7142857142857143","0.8571428571428571","0.8333333333333334","-1500","UA","1000","583","disagree","2000","EV","1500","1998","weak_disagree","True","True","strong_agree","6000","8000","4986","weak_agree","-1000","NY","4000","5085","weak_agree","2000","CA","3000","1887","disagree","3000","MA","3000","3928","weak_disagree","agree","""CA,FL,MA,NY,PR""","""CA,FL,MA,NY""","""CA,FL,VA,MA,PR,NJ,NY""","0.7142857142857143","0.5714285714285714","0.8","62842","46833","181839","38102","22571","62522","96185","60316","172982","44786","45099","33973","""No, not at all.""","no","Very well-designed study. Great!","male","24","familiar","no"
