state,frac,seq,AA,AS,B6,DL,EV,F9,HA,NK,OO,UA,VX,WN
IL,1000,3,6000,,,3000,6000,,,1000,3000,5000,,6000
IL,1000,4,7000,,,1000,5000,,,1000,3000,8000,,5000
IL,1000,5,6000,,,,5000,,,,3000,8000,,8000
IL,1000,6,4000,,,2000,5000,,,1000,3000,13000,,2000
IL,1000,7,6000,,,,5000,,,,5000,6000,,8000
IL,1000,8,7000,,,4000,4000,,,2000,2000,6000,,5000
IL,1000,9,7000,,,1000,6000,,,2000,4000,4000,,6000
IL,1000,10,5000,,,3000,8000,,,2000,2000,3000,,7000
IL,1000,11,6000,,,2000,2000,,,,5000,6000,,9000
IL,1000,12,3000,,,1000,3000,,,2000,3000,5000,,13000
IL,1000,13,5000,,,2000,3000,,,4000,4000,2000,,10000
IL,1000,14,8000,,,,5000,,,1000,5000,8000,,3000
IL,1000,15,8000,,,,3000,,,,6000,7000,,6000
IL,1000,16,3000,,,2000,4000,,,,2000,11000,,8000
IL,1000,17,7000,,,2000,2000,,,,4000,8000,,7000
IL,1000,18,6000,,,,4000,,,1000,4000,8000,,7000
IL,1000,19,3000,,,3000,5000,,,1000,6000,5000,,7000
IL,1000,20,5000,,,,6000,,,,9000,4000,,6000
CO,1,0,1126,,,810,,2187,,434,6773,5091,,5887
CO,100,1,1400,,,900,,1100,,900,6400,6100,,5500
CO,100,2,1400,,,1400,,2000,,100,6300,5400,,5700
CO,100,3,1500,,,900,,2000,,400,6300,5400,,5800
CO,100,4,900,,,900,,2300,,700,7000,5900,,4600
CO,100,5,900,,,900,,2700,,200,6700,5700,,5200
CO,100,6,800,,,800,,2800,,400,6900,5400,,5200
CO,100,7,800,,,700,,2300,,700,6600,4800,,6400
CO,100,8,1000,,,600,,2400,,500,7800,4600,,5400
CO,100,9,1600,,,1000,,1400,,200,7000,5100,,6000
CO,100,10,900,,,900,,2400,,300,6800,5800,,5200
CO,100,11,1100,,,600,,2000,,200,6300,6200,,5900
CO,100,12,1500,,,900,,1600,,600,6900,4800,,6000
CO,100,13,1800,,,1100,,1800,,500,5700,5000,,6400
CO,100,14,1000,,,1000,,1700,,400,6800,6100,,5300
CO,100,15,900,,,500,,2800,,400,6700,5700,,5300
CO,100,16,1200,,,1000,,2200,,300,6100,5100,,6400
CO,100,17,1200,,,900,,1500,,300,7100,4300,,7000
CO,100,18,1500,,,800,,2300,,200,6900,5200,,5400
CO,100,19,800,,,500,,2200,,900,6200,4400,,7300
CO,100,20,700,,,400,,2700,,400,6900,5700,,5500
CO,200,1,1400,,,1200,,2200,,800,6600,3800,,6400
CO,200,2,1400,,,600,,1800,,400,6400,5600,,6200
CO,200,3,1200,,,1600,,2000,,400,7000,3800,,6400
CO,200,4,800,,,1000,,2800,,400,7400,4600,,5400
CO,200,5,2000,,,600,,2800,,800,6800,4200,,5200
CO,200,6,600,,,1000,,3000,,600,6200,5400,,5600
CO,200,7,800,,,1000,,2000,,200,9200,4600,,4600
CO,200,8,400,,,200,,2400,,800,5600,6600,,6400
CO,200,9,1800,,,1400,,1800,,600,6200,4600,,6000
CO,200,10,1600,,,1000,,3000,,,7600,4200,,5000
CO,200,11,1000,,,600,,2000,,800,6800,3600,,7600
CO,200,12,800,,,400,,4000,,200,6000,5800,,5200
CO,200,13,800,,,1200,,2000,,800,6400,5600,,5600
CO,200,14,2200,,,400,,1600,,200,7800,5200,,5000
CO,200,15,1400,,,800,,2000,,200,6800,4600,,6600
CO,200,16,1600,,,400,,2200,,600,7600,5200,,4800
CO,200,17,600,,,600,,2000,,400,7600,5400,,5800
CO,200,18,1000,,,1000,,3200,,400,6800,5800,,4200
CO,200,19,800,,,800,,2600,,200,8400,5200,,4400
CO,200,20,1000,,,1000,,1800,,200,7400,5200,,5800
CO,500,1,1000,,,2500,,1500,,,7000,4500,,6000
CO,500,2,500,,,,,2000,,1000,6000,5500,,7500
CO,500,3,1000,,,500,,3000,,500,5000,5500,,7000
CO,500,4,500,,,2000,,3000,,500,6000,3500,,7000
CO,500,5,,,,2500,,2500,,500,6500,6000,,4500
CO,500,6,1000,,,1000,,2000,,,6000,6000,,6500
CO,500,7,,,,1000,,3000,,500,5500,6500,,6000
CO,500,8,1000,,,1000,,2500,,500,4500,6500,,6500
CO,500,9,1500,,,500,,2000,,500,7500,5500,,5000
CO,500,10,1000,,,500,,3500,,1000,5500,6500,,4500
CO,500,11,1000,,,1500,,3000,,1000,9000,3000,,4000
CO,500,12,1000,,,500,,1500,,500,6500,5500,,7000
CO,500,13,,,,2000,,1000,,,5500,7000,,7000
CO,500,14,1000,,,1000,,2000,,,3500,5500,,9500
CO,500,15,2000,,,1000,,500,,500,8000,4500,,6000
CO,500,16,1000,,,,,3000,,500,7500,4000,,6500
CO,500,17,1000,,,1500,,2500,,,8000,4500,,5000
CO,500,18,1000,,,,,2500,,,9500,4000,,5500
CO,500,19,1000,,,500,,,,500,10500,4000,,6000
CO,500,20,500,,,500,,2500,,1000,8500,4500,,5000
CO,1000,1,3000,,,2000,,2000,,1000,4000,6000,,4000
CO,1000,2,,,,1000,,3000,,1000,2000,4000,,11000
CO,1000,3,,,,2000,,2000,,,6000,4000,,8000
CO,1000,4,1000,,,,,1000,,1000,9000,6000,,4000
CO,1000,5,2000,,,1000,,2000,,,9000,5000,,3000
CO,1000,6,1000,,,1000,,3000,,2000,4000,2000,,9000
CO,1000,7,,,,1000,,1000,,1000,6000,6000,,7000
CO,1000,8,,,,,,3000,,,12000,4000,,3000
CO,1000,9,1000,,,1000,,,,3000,5000,7000,,5000
CO,1000,10,2000,,,1000,,2000,,1000,7000,2000,,7000
CO,1000,11,2000,,,1000,,5000,,,6000,7000,,1000
CO,1000,12,,,,,,1000,,,6000,10000,,5000
CO,1000,13,,,,1000,,2000,,,9000,4000,,6000
CO,1000,14,1000,,,1000,,1000,,1000,7000,7000,,4000
CO,1000,15,2000,,,,,3000,,2000,4000,4000,,7000
CO,1000,16,1000,,,,,2000,,,6000,4000,,9000
CO,1000,17,1000,,,,,2000,,1000,5000,6000,,7000
CO,1000,18,1000,,,1000,,3000,,1000,6000,5000,,5000
CO,1000,19,1000,,,2000,,4000,,,7000,4000,,4000
CO,1000,20,,,,2000,,3000,,,5000,4000,,8000
NY,1,0,4403,,5428,5478,2313,,,,,898,468,2470
NY,100,1,4600,,5300,4500,2400,,,,,1100,500,3100
NY,100,2,4200,,5200,6100,2300,,,,,300,400,3000
NY,100,3,4600,,6100,4400,2100,,,,,800,200,3300
NY,100,4,4400,,3700,6700,3600,,,,,1100,100,1900
NY,100,5,4700,,5400,4700,2700,,,,,700,800,2500
NY,100,6,4500,,6000,4700,2600,,,,,1000,500,2200
NY,100,7,4000,,5700,5900,2600,,,,,1200,1200,900
NY,100,8,4500,,5600,5200,2500,,,,,800,300,2600
NY,100,9,4800,,5600,5800,2100,,,,,1100,100,2000
NY,100,10,5300,,3800,5700,2800,,,,,1300,300,2300
NY,100,11,3600,,6900,4300,2900,,,,,800,100,2900
NY,100,12,5100,,5500,4500,1700,,,,,900,500,3300
NY,100,13,4400,,6300,5800,1800,,,,,1000,400,1800
NY,100,14,4500,,5000,5300,2800,,,,,600,600,2700
NY,100,15,3800,,5400,6000,1900,,,,,700,900,2800
NY,100,16,4500,,5000,6600,2300,,,,,700,400,2000
NY,100,17,4800,,5700,4800,2400,,,,,900,400,2500
NY,100,18,3800,,5200,6400,2300,,,,,1200,400,2200
NY,100,19,4600,,4600,4700,2400,,,,,1100,1100,3000
NY,100,20,3800,,5700,5700,2100,,,,,600,700,2900
NY,200,1,3400,,5400,6800,1600,,,,,800,200,3200
NY,200,2,4000,,4400,7000,3000,,,,,1200,200,1600
NY,200,3,3600,,5400,5000,2400,,,,,1200,600,3200
NY,200,4,3200,,4600,6600,2000,,,,,1000,400,3600
NY,200,5,3800,,7000,6000,2800,,,,,400,200,1200
NY,200,6,5200,,4400,5000,2800,,,,,600,400,3000
NY,200,7,3800,,7400,4800,2000,,,,,600,600,2200
NY,200,8,4000,,6200,4200,3200,,,,,800,800,2200
NY,200,9,4000,,6400,6000,1800,,,,,800,800,1600
NY,200,10,3400,,5200,6800,2400,,,,,400,400,2800
NY,200,11,4400,,4400,7000,3400,,,,,400,200,1600
NY,200,12,4400,,6000,5200,1600,,,,,1000,600,2600
NY,200,13,4600,,4200,6400,2600,,,,,1800,400,1400
NY,200,14,4200,,6400,7600,1400,,,,,200,,1600
NY,200,15,4000,,5600,6000,2400,,,,,1400,1000,1000
NY,200,16,5200,,4000,5000,3000,,,,,1000,800,2400
NY,200,17,3600,,6200,6000,2600,,,,,600,400,2000
NY,200,18,4200,,3800,6600,3000,,,,,1000,600,2200
NY,200,19,4600,,7000,3200,2400,,,,,400,600,3200
NY,200,20,3000,,6400,6000,1600,,,,,1400,400,2600
NY,500,1,3000,,6500,5500,3000,,,,,1000,500,2000
NY,500,2,5000,,5000,7500,,,,,,500,500,3000
NY,500,3,4000,,7500,6000,1500,,,,,,500,2000
NY,500,4,3500,,6500,4000,1500,,,,,3000,,3000
NY,500,5,2500,,7500,6000,2500,,,,,500,500,2000
NY,500,6,4000,,5000,5000,3500,,,,,500,1500,2000
NY,500,7,5000,,6500,5000,1500,,,,,,1000,2500
NY,500,8,4000,,5000,3500,500,,,,,2000,1000,5500
NY,500,9,4500,,4500,6000,2000,,,,,1000,500,3000
NY,500,10,5000,,7000,3500,2000,,,,,500,1000,2500
NY,500,11,4500,,7500,3500,500,,,,,1000,,4500
NY,500,12,4500,,7000,6000,1000,,,,,500,500,2000
NY,500,13,3500,,6000,6000,3500,,,,,1000,500,1000
NY,500,14,4500,,5000,5500,4000,,,,,500,500,1500
NY,500,15,4500,,6500,5000,1500,,,,,1000,,3000
NY,500,16,4500,,5000,4000,3500,,,,,1000,1000,2500
NY,500,17,6000,,4500,5000,2500,,,,,2000,,1500
NY,500,18,5500,,5500,5500,3500,,,,,1000,,500
NY,500,19,3000,,7500,5000,2500,,,,,1500,,2000
NY,500,20,7500,,6000,4000,1500,,,,,500,1000,1000
NY,1000,1,5000,,4000,6000,2000,,,,,1000,1000,2000
NY,1000,2,4000,,3000,6000,4000,,,,,,2000,2000
NY,1000,3,7000,,3000,6000,1000,,,,,2000,,2000
NY,1000,4,3000,,5000,5000,1000,,,,,2000,3000,2000
NY,1000,5,3000,,2000,5000,4000,,,,,3000,1000,3000
NY,1000,6,2000,,8000,8000,1000,,,,,1000,,1000
NY,1000,7,8000,,6000,2000,3000,,,,,,1000,1000
NY,1000,8,4000,,5000,7000,,,,,,,2000,3000
NY,1000,9,3000,,5000,7000,2000,,,,,,1000,3000
NY,1000,10,5000,,7000,6000,1000,,,,,,1000,1000
NY,1000,11,6000,,4000,7000,3000,,,,,,1000,
NY,1000,12,6000,,5000,6000,2000,,,,,,,2000
NY,1000,13,5000,,6000,5000,,,,,,,2000,3000
NY,1000,14,3000,,2000,8000,3000,,,,,2000,,3000
NY,1000,15,1000,,6000,11000,2000,,,,,1000,,
NY,1000,16,3000,,7000,2000,3000,,,,,2000,1000,3000
NY,1000,17,2000,,4000,5000,4000,,,,,4000,,2000
NY,1000,18,3000,,6000,8000,,,,,,1000,1000,2000
NY,1000,19,4000,,3000,9000,1000,,,,,2000,,2000
NY,1000,20,4000,,7000,5000,2000,,,,,1000,,2000
AZ,1,0,5681,204,,701,,252,,,2616,348,,5644
AZ,100,1,5200,600,,300,,300,,,2600,500,,5900
AZ,100,2,6300,500,,500,,400,,,2400,500,,4800
AZ,100,3,5800,200,,700,,700,,,2700,200,,5100
AZ,100,4,6000,300,,500,,,,,2800,700,,5100
AZ,100,5,5300,,,700,,100,,,3000,300,,6000
AZ,100,6,5400,100,,600,,200,,,2600,400,,6100
AZ,100,7,5900,100,,900,,300,,,2200,300,,5700
AZ,100,8,5000,300,,900,,300,,,3000,300,,5600
AZ,100,9,6300,200,,1000,,200,,,2700,600,,4400
AZ,100,10,5500,400,,600,,300,,,2300,300,,6000
AZ,100,11,5200,300,,500,,400,,,2700,400,,5900
AZ,100,12,5600,100,,600,,100,,,3200,300,,5500
AZ,100,13,5700,100,,800,,100,,,2800,500,,5400
AZ,100,14,5500,100,,1000,,300,,,2400,400,,5700
AZ,100,15,6100,400,,400,,800,,,2300,100,,5300
AZ,100,16,6200,100,,800,,500,,,2300,300,,5200
AZ,100,17,4600,,,900,,300,,,3900,200,,5500
AZ,100,18,5300,300,,1000,,100,,,2700,100,,5900
AZ,100,19,6000,200,,500,,100,,,2200,400,,6000
AZ,100,20,5200,300,,600,,100,,,1900,900,,6400
AZ,200,1,6200,400,,1000,,,,,3000,200,,4600
AZ,200,2,5600,,,800,,200,,,2800,400,,5600
AZ,200,3,6200,200,,200,,400,,,2600,200,,5600
AZ,200,4,6000,800,,600,,,,,3600,800,,3600
AZ,200,5,5600,200,,600,,200,,,1600,400,,6800
AZ,200,6,6400,200,,600,,400,,,3200,400,,4200
AZ,200,7,5200,200,,1000,,,,,2200,400,,6400
AZ,200,8,6800,200,,600,,,,,2400,200,,5200
AZ,200,9,4400,200,,800,,200,,,3200,400,,6200
AZ,200,10,4800,200,,200,,,,,3000,400,,6800
AZ,200,11,6000,400,,800,,200,,,2400,400,,5200
AZ,200,12,3600,200,,1200,,200,,,3200,,,7000
AZ,200,13,5600,,,400,,400,,,1800,600,,6600
AZ,200,14,4800,200,,1200,,,,,2600,400,,6200
AZ,200,15,5800,200,,600,,200,,,2400,,,6200
AZ,200,16,6800,400,,1000,,800,,,2000,200,,4200
AZ,200,17,5000,200,,400,,200,,,3600,400,,5600
AZ,200,18,5000,,,800,,,,,2600,600,,6400
AZ,200,19,5600,400,,400,,,,,2400,1000,,5600
AZ,200,20,4600,,,800,,,,,2200,400,,7400
AZ,500,1,4500,,,500,,1000,,,1500,1000,,7000
AZ,500,2,6500,,,1000,,500,,,2500,500,,4500
AZ,500,3,7000,,,1000,,500,,,1500,,,5500
AZ,500,4,2000,,,1500,,,,,2500,,,9500
AZ,500,5,6000,1000,,500,,,,,2500,500,,5000
AZ,500,6,6000,,,1500,,,,,2000,500,,5500
AZ,500,7,6000,500,,500,,500,,,2000,,,6000
AZ,500,8,5000,1500,,,,,,,3000,,,6000
AZ,500,9,4500,500,,1500,,,,,2500,,,6500
AZ,500,10,7000,500,,,,,,,2000,,,6000
AZ,500,11,5500,,,,,,,,3500,,,6500
AZ,500,12,6000,,,500,,1000,,,2500,500,,5000
AZ,500,13,6500,500,,500,,1000,,,2500,,,4500
AZ,500,14,7500,,,1000,,,,,2500,,,4500
AZ,500,15,3500,,,500,,500,,,2000,,,9000
AZ,500,16,4500,500,,1500,,,,,1500,500,,7000
AZ,500,17,5500,500,,1500,,,,,1500,,,6500
AZ,500,18,7000,,,500,,,,,3000,,,5000
AZ,500,19,6000,,,500,,,,,3000,500,,5500
AZ,500,20,7500,,,,,1000,,,2000,,,5000
AZ,1000,1,2000,,,1000,,1000,,,2000,,,9000
AZ,1000,2,6000,2000,,,,,,,2000,,,5000
AZ,1000,3,7000,,,1000,,,,,4000,,,3000
AZ,1000,4,6000,,,,,1000,,,2000,,,6000
AZ,1000,5,4000,,,3000,,,,,5000,1000,,2000
AZ,1000,6,5000,,,,,,,,6000,1000,,3000
AZ,1000,7,5000,1000,,,,,,,1000,,,8000
AZ,1000,8,3000,,,3000,,,,,3000,,,6000
AZ,1000,9,8000,1000,,1000,,,,,3000,,,2000
AZ,1000,10,7000,,,1000,,,,,2000,1000,,4000
AZ,1000,11,5000,1000,,1000,,,,,3000,,,5000
AZ,1000,12,7000,1000,,,,1000,,,,,,6000
AZ,1000,13,3000,,,,,1000,,,4000,1000,,6000
AZ,1000,14,7000,,,1000,,,,,,,,7000
AZ,1000,15,4000,,,1000,,,,,3000,2000,,5000
AZ,1000,16,9000,,,1000,,,,,2000,,,3000
AZ,1000,17,5000,,,,,,,,4000,,,6000
AZ,1000,18,4000,1000,,,,,,,4000,,,6000
AZ,1000,19,5000,,,2000,,,,,2000,,,6000
AZ,1000,20,5000,,,,,,,,4000,,,6000
NV,1,0,1709,,,1278,,530,,961,,1008,430,7341
NV,100,1,1200,,,1100,,600,,1200,,900,700,7600
NV,100,2,1100,,,1200,,1000,,1200,,800,400,7600
NV,100,3,1700,,,1400,,600,,900,,600,600,7500
NV,100,4,1900,,,2000,,300,,900,,1300,600,6300
NV,100,5,1500,,,2000,,800,,1100,,900,300,6700
NV,100,6,2100,,,1000,,600,,1400,,900,300,7000
NV,100,7,1600,,,1400,,400,,600,,600,300,8400
NV,100,8,2000,,,1200,,500,,1300,,1100,500,6700
NV,100,9,1300,,,1300,,1000,,1400,,1000,200,7100
NV,100,10,1600,,,1300,,800,,300,,1300,900,7100
NV,100,11,2700,,,1300,,500,,1200,,1100,300,6200
NV,100,12,1700,,,1200,,700,,800,,900,500,7500
NV,100,13,1500,,,1500,,600,,1200,,1400,300,6800
NV,100,14,1600,,,1400,,800,,700,,1300,100,7400
NV,100,15,1700,,,700,,500,,900,,800,500,8200
NV,100,16,1800,,,1500,,400,,1300,,900,400,7000
NV,100,17,1900,,,1900,,700,,800,,700,800,6500
NV,100,18,1400,,,1400,,200,,900,,1100,700,7600
NV,100,19,3100,,,1100,,500,,900,,600,300,6800
NV,100,20,1600,,,1400,,200,,1100,,1100,1000,6900
NV,200,1,3400,,,1000,,,,1600,,400,,6800
NV,200,2,1600,,,2200,,200,,1400,,400,400,7000
NV,200,3,1400,,,800,,400,,1200,,600,800,8000
NV,200,4,2000,,,1600,,600,,1400,,800,600,6200
NV,200,5,2200,,,1000,,200,,1000,,400,,8400
NV,200,6,3200,,,800,,200,,600,,600,600,7200
NV,200,7,1200,,,2400,,600,,1000,,400,400,7200
NV,200,8,800,,,1000,,600,,1000,,1400,600,7800
NV,200,9,2000,,,1400,,600,,800,,1400,400,6600
NV,200,10,1600,,,1000,,200,,800,,600,1000,8000
NV,200,11,800,,,1200,,400,,1600,,1400,400,7400
NV,200,12,1000,,,400,,400,,1400,,800,,9200
NV,200,13,1800,,,600,,200,,600,,1400,400,8200
NV,200,14,2400,,,1600,,600,,600,,1000,1000,6000
NV,200,15,800,,,2000,,200,,1200,,1000,400,7600
NV,200,16,1600,,,1000,,600,,1000,,600,400,8000
NV,200,17,1200,,,2200,,200,,1200,,600,200,7600
NV,200,18,1000,,,1000,,1400,,1400,,1800,200,6400
NV,200,19,1200,,,1000,,200,,1000,,1200,400,8200
NV,200,20,1400,,,1200,,200,,600,,1200,200,8400
NV,500,1,500,,,1500,,500,,2000,,1000,,8000
NV,500,2,1500,,,1500,,500,,500,,500,500,8500
NV,500,3,2500,,,1500,,,,500,,1000,500,7500
NV,500,4,2500,,,1000,,,,1000,,1500,,7500
NV,500,5,2500,,,2000,,,,500,,,500,8000
NV,500,6,2000,,,1500,,500,,500,,500,500,8000
NV,500,7,1000,,,1500,,1000,,500,,2000,500,7000
NV,500,8,1500,,,1000,,,,2000,,500,500,8000
NV,500,9,1500,,,,,,,2500,,500,,9000
NV,500,10,3000,,,1500,,1000,,500,,1000,500,6000
NV,500,11,2000,,,1500,,500,,1000,,1000,,7500
NV,500,12,3500,,,500,,500,,2500,,500,1000,5000
NV,500,13,1500,,,1000,,,,1000,,500,,9500
NV,500,14,2000,,,500,,,,2000,,1500,,7500
NV,500,15,2500,,,1000,,,,2000,,500,500,7000
NV,500,16,1500,,,2000,,500,,500,,1000,1000,7000
NV,500,17,2500,,,1000,,1000,,1500,,1000,500,6000
NV,500,18,1500,,,4000,,,,1500,,,,6500
NV,500,19,500,,,2000,,1500,,500,,1500,1000,6500
NV,500,20,2000,,,500,,,,1500,,500,500,8500
NV,1000,1,2000,,,,,,,,,2000,1000,8000
NV,1000,2,,,,3000,,,,2000,,,,8000
NV,1000,3,2000,,,1000,,,,,,1000,1000,8000
NV,1000,4,1000,,,1000,,1000,,2000,,1000,,7000
NV,1000,5,1000,,,2000,,,,1000,,3000,1000,5000
NV,1000,6,1000,,,1000,,1000,,,,1000,1000,8000
NV,1000,7,2000,,,,,,,1000,,2000,,8000
NV,1000,8,1000,,,2000,,3000,,,,1000,,6000
NV,1000,9,1000,,,2000,,,,,,,2000,8000
NV,1000,10,,,,2000,,2000,,1000,,1000,,7000
NV,1000,11,,,,3000,,1000,,1000,,3000,,5000
NV,1000,12,,,,3000,,,,1000,,,,9000
NV,1000,13,1000,,,4000,,,,,,1000,2000,5000
NV,1000,14,3000,,,,,,,1000,,,,9000
NV,1000,15,4000,,,1000,,1000,,,,1000,,6000
NV,1000,16,1000,,,3000,,1000,,,,1000,,7000
NV,1000,17,,,,2000,,,,2000,,1000,,8000
NV,1000,18,,,,3000,,,,1000,,1000,1000,7000
NV,1000,19,,,,1000,,1000,,2000,,,,9000
NV,1000,20,,,,3000,,1000,,,,,,9000
WA,1,0,1189,5385,269,2272,,,,,1875,1037,,1808
WA,100,1,1200,4900,500,2400,,,,,2200,1000,,1600
WA,100,2,1000,5400,400,2500,,,,,2200,800,,1500
WA,100,3,1100,5100,100,2100,,,,,2300,1800,,1300
WA,100,4,1200,6300,100,1800,,,,,1400,1100,,1900
WA,100,5,1000,6100,300,1800,,,,,1400,900,,2300
WA,100,6,1300,5200,200,2500,,,,,1600,1100,,1900
WA,100,7,1100,4900,300,2100,,,,,2200,1300,,1900
WA,100,8,1500,6400,300,1900,,,,,1100,900,,1700
WA,100,9,1100,6100,500,1400,,,,,1900,800,,2000
WA,100,10,1000,4500,200,2500,,,,,2800,1100,,1700
WA,100,11,1400,5100,600,2100,,,,,2300,1000,,1300
WA,100,12,900,5100,,2100,,,,,2600,900,,2200
WA,100,13,800,5500,400,1800,,,,,2300,1500,,1500
WA,100,14,700,5700,300,2700,,,,,1500,1100,,1800
WA,100,15,1600,5400,400,2100,,,,,1500,700,,2100
WA,100,16,1200,6600,100,2800,,,,,1100,700,,1300
WA,100,17,1000,5000,300,2300,,,,,2300,1100,,1800
WA,100,18,800,5400,300,1800,,,,,2700,1300,,1500
WA,100,19,1300,5400,200,2000,,,,,2100,900,,1900
WA,100,20,1500,5500,200,1700,,,,,2200,900,,1800
WA,200,1,1400,5400,200,2800,,,,,2000,1200,,800
WA,200,2,1000,3800,400,2600,,,,,2800,1200,,2000
WA,200,3,1200,6400,200,1800,,,,,1600,200,,2400
WA,200,4,600,4800,,2600,,,,,2600,1200,,2000
WA,200,5,2200,5400,200,1600,,,,,1600,1200,,1600
WA,200,6,1000,6200,200,2000,,,,,1600,1800,,1000
WA,200,7,1200,5000,400,1600,,,,,3200,1000,,1400
WA,200,8,1200,6400,400,1400,,,,,2200,1000,,1200
WA,200,9,600,5600,600,2400,,,,,1000,1600,,2000
WA,200,10,600,6400,200,2200,,,,,2200,800,,1400
WA,200,11,800,5400,600,2800,,,,,1400,2000,,800
WA,200,12,1400,6000,400,800,,,,,2200,800,,2200
WA,200,13,800,6000,400,1200,,,,,2400,600,,2400
WA,200,14,1800,5000,200,1800,,,,,1800,1000,,2200
WA,200,15,1000,3800,200,2800,,,,,2200,1800,,2000
WA,200,16,1000,5400,200,1800,,,,,1800,1200,,2400
WA,200,17,600,4800,800,2400,,,,,2200,1000,,2000
WA,200,18,800,5200,,2800,,,,,1800,600,,2600
WA,200,19,1200,6000,,2000,,,,,2400,1000,,1200
WA,200,20,400,6200,200,1800,,,,,2200,1200,,1800
WA,500,1,1000,6000,,1500,,,,,1000,2500,,2000
WA,500,2,500,6000,,2000,,,,,1000,2000,,2500
WA,500,3,2000,4500,,3000,,,,,2000,1000,,1500
WA,500,4,2000,6500,,2500,,,,,500,1000,,1500
WA,500,5,500,6000,,3000,,,,,1500,500,,2500
WA,500,6,1000,4000,500,2500,,,,,3000,1500,,1500
WA,500,7,1500,4000,,1000,,,,,2000,2500,,3000
WA,500,8,500,7000,500,2000,,,,,2500,,,1500
WA,500,9,1500,5500,500,1500,,,,,1000,1000,,3000
WA,500,10,2000,5000,,3000,,,,,500,500,,3000
WA,500,11,1000,6000,,1500,,,,,2000,1500,,2000
WA,500,12,1000,5000,,3000,,,,,1500,1500,,2000
WA,500,13,,8000,500,1500,,,,,2000,1500,,500
WA,500,14,500,6500,,2000,,,,,2000,500,,2500
WA,500,15,500,5000,,3000,,,,,2500,1500,,1500
WA,500,16,2000,4500,,500,,,,,2000,2000,,3000
WA,500,17,,9000,,1000,,,,,1000,1000,,2000
WA,500,18,,5500,1000,4000,,,,,2000,1500,,
WA,500,19,1500,6500,,1500,,,,,2000,1000,,1500
WA,500,20,,5500,500,2000,,,,,2000,2000,,2000
WA,1000,1,1000,7000,,1000,,,,,3000,,,2000
WA,1000,2,3000,3000,1000,3000,,,,,2000,1000,,1000
WA,1000,3,1000,7000,,3000,,,,,2000,,,1000
WA,1000,4,2000,4000,1000,1000,,,,,3000,1000,,2000
WA,1000,5,1000,8000,,1000,,,,,2000,,,2000
WA,1000,6,,6000,,,,,,,4000,3000,,1000
WA,1000,7,,4000,,1000,,,,,6000,1000,,2000
WA,1000,8,1000,5000,,3000,,,,,3000,2000,,
WA,1000,9,,7000,,3000,,,,,2000,,,2000
WA,1000,10,1000,5000,,3000,,,,,,2000,,3000
WA,1000,11,,6000,,3000,,,,,4000,,,1000
WA,1000,12,,6000,1000,,,,,,2000,3000,,2000
WA,1000,13,1000,4000,,2000,,,,,3000,1000,,3000
WA,1000,14,,7000,,1000,,,,,3000,2000,,1000
WA,1000,15,,8000,2000,1000,,,,,2000,,,1000
WA,1000,16,2000,3000,,,,,,,4000,1000,,4000
WA,1000,17,2000,4000,,2000,,,,,2000,2000,,2000
WA,1000,18,,3000,,5000,,,,,1000,,,5000
WA,1000,19,3000,5000,,3000,,,,,2000,1000,,
WA,1000,20,1000,5000,,3000,,,,,,3000,,2000
